Answer,Division,Grouping,Level,Org_Group,Organization,Q Id,Q-Pillar_Group,Question Id,Question Id Details,Question Id Enum,Question Id Short,Question Type,State,Submission Id,Text Answer,Title,Value_NULL,Wording,Completion_Rate,Q_Score,Score_Status,Value
Test One,Testing,Demographics,Management / Associate,Test1,Test1,Q1,Q1,QID10TEXT,QID10,Q1,Q1,Demographics info,COMPLETED,R_2y3ZGs556diX84c,Test One,Tester,TRUE, What is your Organization?,1,,Optimizing AI,
Testing,Testing,Demographics,Management / Associate,Test1,Test1,Q1a,Q1a,QID11TEXT,QID11,Q1a,Q1a,Demographics info,COMPLETED,R_2y3ZGs556diX84c,Testing,Tester,TRUE, What is your Division?,1,,Optimizing AI,
Tester,Testing,Demographics,Management / Associate,Test1,Test1,Q2,Q2,QID12TEXT,QID12,Q2,Q2,Demographics info,COMPLETED,R_2y3ZGs556diX84c,Tester,Tester,TRUE, What is your title?,1,,Optimizing AI,
2,Testing,Demographics,Management / Associate,Test1,Test1,Q3,Q3,QID13,QID13,Q3,Q3,Demographics info,COMPLETED,R_2y3ZGs556diX84c,Management / Associate,Tester,TRUE, What is your level in your organization?,1,,Optimizing AI,
,Testing,Demographics,Management / Associate,Test1,Test1,Q3_4_TEXT,Q3_4_TEXT,QID134TEXT,QID13,Q3_4_TEXT,Q3,Demographics info,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, What is your level in your organization?,1,,Optimizing AI,
4,Testing,Demographics,Management / Associate,Test1,Test1,Q4,Q4,QID14,QID14,Q4,Q4,Demographics info,COMPLETED,R_2y3ZGs556diX84c,Technical delivery (Focuses on creating AI solutions or works in the technology ecosystem with AI solutions),Tester,TRUE," When it comes to AI initiatives in your organization, which of the following best describes your role?",1,,Optimizing AI,
2,Testing,Awareness,Management / Associate,Test1,Test1,Q5,Q5,QID15,QID15,Q5,Q5,Likert,COMPLETED,R_2y3ZGs556diX84c,Moderately aware,Tester,FALSE, How aware are you of AI initiatives across your organization?,1,0.75,Optimizing AI,3
2,Testing,Familiarity,Management / Associate,Test1,Test1,Q6,Q6,QID18,QID18,Q6,Q6,Likert,COMPLETED,R_2y3ZGs556diX84c,Moderately familiar,Tester,FALSE, How familiar are you with how AI is used across your organization?,1,0.75,Optimizing AI,3
,Testing,AI-Type,Management / Associate,Test1,Test1,Q7_1,Q7_1,"QID20,choiceId:1",QID20,Q7_1,Q7,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that ",1,,Optimizing AI,
,Testing,AI-Type,Management / Associate,Test1,Test1,Q7_2,Q7_2,"QID20,choiceId:2",QID20,Q7_2,Q7,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that ",1,,Optimizing AI,
1,Testing,AI-Type,Management / Associate,Test1,Test1,Q7_3,Q7_3,"QID20,choiceId:3",QID20,Q7_3,Q7,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,Planning and Optimization,Tester,TRUE," To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that ",1,,Optimizing AI,
1,Testing,AI-Type,Management / Associate,Test1,Test1,Q7_4,Q7_4,"QID20,choiceId:4",QID20,Q7_4,Q7,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,Modeling and Simulation,Tester,TRUE," To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that ",1,,Optimizing AI,
1,Testing,AI-Type,Management / Associate,Test1,Test1,Q7_5,Q7_5,"QID20,choiceId:5",QID20,Q7_5,Q7,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,Natural Language Understanding,Tester,TRUE," To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that ",1,,Optimizing AI,
1,Testing,AI-Type,Management / Associate,Test1,Test1,Q7_6,Q7_6,"QID20,choiceId:6",QID20,Q7_6,Q7,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,Computer Vision,Tester,TRUE," To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that ",1,,Optimizing AI,
,Testing,AI-Type,Management / Associate,Test1,Test1,Q7_7,Q7_7,"QID20,choiceId:7",QID20,Q7_7,Q7,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that ",1,,Optimizing AI,
,Testing,AI-Type,Management / Associate,Test1,Test1,Q7_7_TEXT,Q7_7_TEXT,QID207TEXT,QID20,Q7_7_TEXT,Q7,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," To the best of your knowledge, which of the following types of AI applications has your organization used or discussed using? Please select all that ",1,,Optimizing AI,
,Testing,Robotic Process Automation,Management / Associate,Test1,Test1,Q7a_1,Q7a_1,QID21x1,QID21,Q7a_1,Q7a,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," To the best of your knowledge, to what extent has your organization used the following types of AI?",1,,Optimizing AI,
,Testing,Prediction,Management / Associate,Test1,Test1,Q7a_2,Q7a_2,QID21x2,QID21,Q7a_2,Q7a,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," To the best of your knowledge, to what extent has your organization used the following types of AI?",1,,Optimizing AI,
1,Testing,Planning and Optimization,Management / Associate,Test1,Test1,Q7a_3,Q7a_3,QID21x3,QID21,Q7a_3,Q7a,Likert,COMPLETED,R_2y3ZGs556diX84c,Discussed,Tester,FALSE," To the best of your knowledge, to what extent has your organization used the following types of AI?",1,0,Initial AI,0
1,Testing,Modeling and Simulation,Management / Associate,Test1,Test1,Q7a_4,Q7a_4,QID21x4,QID21,Q7a_4,Q7a,Likert,COMPLETED,R_2y3ZGs556diX84c,Discussed,Tester,FALSE," To the best of your knowledge, to what extent has your organization used the following types of AI?",1,0,Initial AI,0
2,Testing,Natural Language Understanding,Management / Associate,Test1,Test1,Q7a_5,Q7a_5,QID21x5,QID21,Q7a_5,Q7a,Likert,COMPLETED,R_2y3ZGs556diX84c,Piloted,Tester,FALSE," To the best of your knowledge, to what extent has your organization used the following types of AI?",1,0.33325,Initial AI,1.333
2,Testing,Computer Vision,Management / Associate,Test1,Test1,Q7a_6,Q7a_6,QID21x6,QID21,Q7a_6,Q7a,Likert,COMPLETED,R_2y3ZGs556diX84c,Piloted,Tester,FALSE," To the best of your knowledge, to what extent has your organization used the following types of AI?",1,0.33325,Initial AI,1.333
,Testing,Other,Management / Associate,Test1,Test1,Q7a_7,Q7a_7,QID21x7,QID21,Q7a_7,Q7a,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," To the best of your knowledge, to what extent has your organization used the following types of AI?",1,,Optimizing AI,
,Testing,(please specify),Management / Associate,Test1,Test1,Q7a_7_TEXT,Q7a_7_TEXT,QID21x7TEXT,QID21,Q7a_7_TEXT,Q7a,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," To the best of your knowledge, to what extent has your organization used the following types of AI?",1,,Optimizing AI,
Making more money,Testing,AI-Type,Management / Associate,Test1,Test1,Q7b,Q7b,QID22TEXT,QID22,Q7b,Q7b,Free Response,COMPLETED,R_2y3ZGs556diX84c,Making more money,Tester,TRUE, What is an opportunity or use case that you see in your organization to use AI?,1,,Optimizing AI,
2,Testing,Strategy,Management / Associate,Test1,Test1,Q8,Q8,QID25,QID25,Q8,Q8,Likert,COMPLETED,R_2y3ZGs556diX84c,My organization has created but not implemented an AI strategy.,Tester,FALSE, How would you best describe the state of your organization's AI strategy?,1,0.66675,Optimizing AI,2.667
2,Testing,Strategy,Management / Associate,Test1,Test1,Q9,Strategy,QID27,QID27,Q9,Q9,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, AI currently adds value to the day-to-day mission of my ,1,0.75,Optimizing AI,3
4,Testing,Inform decision making,Management / Associate,Test1,Test1,Q10_1,Q10_1,QID281,QID28,Q10_1,Q10,Likert,COMPLETED,R_2y3ZGs556diX84c,Disagree,Tester,FALSE, To what extent do you agree or disagree that your organization prioritizes the following uses of AI?,1,0.25,Initial AI,1
2,Testing,Manage organizational risk,Management / Associate,Test1,Test1,Q10_2,Q10_2,QID282,QID28,Q10_2,Q10,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, To what extent do you agree or disagree that your organization prioritizes the following uses of AI?,1,0.75,Optimizing AI,3
3,Testing,Identify new ways to achieve its mission and goals,Management / Associate,Test1,Test1,Q10_3,Q10_3,QID283,QID28,Q10_3,Q10,Likert,COMPLETED,R_2y3ZGs556diX84c,Neither agree nor disagree,Tester,FALSE, To what extent do you agree or disagree that your organization prioritizes the following uses of AI?,1,0.5,Maturing AI,2
2,Testing,Testing AI technology applications,Management / Associate,Test1,Test1,Q11_1,Strategy,QID291,QID29,Q11_1,Q11,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, To what extent do you agree or disagree that your organization prioritizes the following activities around AI technology?,1,0.75,Optimizing AI,3
2,Testing,Adopting AI technology applications,Management / Associate,Test1,Test1,Q11_2,Strategy,QID292,QID29,Q11_2,Q11,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, To what extent do you agree or disagree that your organization prioritizes the following activities around AI technology?,1,0.75,Optimizing AI,3
3,Testing,Scaling AI technology applications,Management / Associate,Test1,Test1,Q11_3,Strategy,QID293,QID29,Q11_3,Q11,Likert,COMPLETED,R_2y3ZGs556diX84c,Neither agree nor disagree,Tester,FALSE, To what extent do you agree or disagree that your organization prioritizes the following activities around AI technology?,1,0.5,Maturing AI,2
3,Testing,AI-Investment,Management / Associate,Test1,Test1,Q12,Q12,QID30,QID30,Q12,Q12,Likert,COMPLETED,R_2y3ZGs556diX84c,Neither agree nor disagree,Tester,FALSE, To what extent do you agree or disagree that your organization prioritizes investing financial resources to build its AI capabilities?,1,0.5,Maturing AI,2
1,Testing,Data,Management / Associate,Test1,Test1,Q13,Q13,QID34,QID34,Q13,Q13,Likert,COMPLETED,R_2y3ZGs556diX84c,Yes,Tester,FALSE, Does your organization have a data governance structure in place?,1,1,Optimizing AI,4
1,Testing,Makes data accessible to those who need it within the organization,Management / Associate,Test1,Test1,Q14_1,Data,QID351,QID35,Q14_1,Q14,Likert,COMPLETED,R_2y3ZGs556diX84c,Strongly Agree,Tester,FALSE, To what extent do you agree or disagree with the following statements? My ..,1,1,Optimizing AI,4
3,Testing,Facilitates the timely sharing of data with counterparts within the organization,Management / Associate,Test1,Test1,Q14_2,Data,QID352,QID35,Q14_2,Q14,Likert,COMPLETED,R_2y3ZGs556diX84c,Neither agree nor disagree,Tester,FALSE, To what extent do you agree or disagree with the following statements? My ..,1,0.5,Maturing AI,2
1,Testing,Integrates data into existing processes,Management / Associate,Test1,Test1,Q14_3,Data,QID353,QID35,Q14_3,Q14,Likert,COMPLETED,R_2y3ZGs556diX84c,Strongly Agree,Tester,FALSE, To what extent do you agree or disagree with the following statements? My ..,1,1,Optimizing AI,4
1,Testing,Descriptive analytics to summarize data,Management / Associate,Test1,Test1,Q15_1,Data,QID361,QID36,Q15_1,Q15,Likert,COMPLETED,R_2y3ZGs556diX84c,Always,Tester,FALSE," To the best of your knowledge, how often does your organization engage in the following types of analysis?",1,1,Optimizing AI,4
1,Testing,Diagnostic analytics to understand why something occurred,Management / Associate,Test1,Test1,Q15_2,Q15_2,QID362,QID36,Q15_2,Q15,Likert,COMPLETED,R_2y3ZGs556diX84c,Always,Tester,FALSE," To the best of your knowledge, how often does your organization engage in the following types of analysis?",1,1,Optimizing AI,4
2,Testing,Predictive analytics to understand the likelihood of future outcomes,Management / Associate,Test1,Test1,Q15_3,Data,QID363,QID36,Q15_3,Q15,Likert,COMPLETED,R_2y3ZGs556diX84c,Often,Tester,FALSE," To the best of your knowledge, how often does your organization engage in the following types of analysis?",1,0.75,Optimizing AI,3
2,Testing,Prescriptive analytics to provide actionable recommendations,Management / Associate,Test1,Test1,Q15_4,Q15_4,QID364,QID36,Q15_4,Q15,Likert,COMPLETED,R_2y3ZGs556diX84c,Often,Tester,FALSE," To the best of your knowledge, how often does your organization engage in the following types of analysis?",1,0.75,Optimizing AI,3
2,Testing,Understand use cases for AI technologies on the market,Management / Associate,Test1,Test1,Q16_1,Technology,QID381,QID38,Q16_1,Q16,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, To what extent do you agree or disagree with the following statement? My organization explores technology solutions by engaging with vendors and/or other technology organizations ..,1,0.75,Optimizing AI,3
4,Testing,Understand how certain AI technologies align with the organization's tech stack,Management / Associate,Test1,Test1,Q16_2,Technology,QID382,QID38,Q16_2,Q16,Likert,COMPLETED,R_2y3ZGs556diX84c,Disagree,Tester,FALSE, To what extent do you agree or disagree with the following statement? My organization explores technology solutions by engaging with vendors and/or other technology organizations ..,1,0.25,Initial AI,1
2,Testing,People,Management / Associate,Test1,Test1,Q17,Q17,QID41,QID41,Q17,Q17,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, To what extent do you agree or disagree with the following statement? I am confident in how AI can be used in my ,1,0.75,Optimizing AI,3
2,Testing,Builds the workforce's data literacy and increases the workforce's analytics proficiency,Management / Associate,Test1,Test1,Q18_1,People,QID421,QID42,Q18_1,Q18,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, To what extent do you agree or disagree with the following statements about how your organization prepares the workforce for AI? My ..,1,0.75,Optimizing AI,3
2,Testing,Provides AI-related talent development programs for staff,Management / Associate,Test1,Test1,Q18_2,People,QID422,QID42,Q18_2,Q18,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, To what extent do you agree or disagree with the following statements about how your organization prepares the workforce for AI? My ..,1,0.75,Optimizing AI,3
5,Testing,Makes AI-related talent development programs easily accessible to staff,Management / Associate,Test1,Test1,Q18_3,People,QID423,QID42,Q18_3,Q18,Likert,COMPLETED,R_2y3ZGs556diX84c,Strongly Disagree,Tester,FALSE, To what extent do you agree or disagree with the following statements about how your organization prepares the workforce for AI? My ..,1,0,Initial AI,0
2,Testing,Q19_1,Management / Associate,Test1,Test1,Q19_1,People,QID431,QID43,Q19_1,Q19,Likert,COMPLETED,R_2y3ZGs556diX84c,2,Tester,FALSE, Which of the following best describes people at your organization?,1,0.25,Initial AI,1
3,Testing,Q19_2,Management / Associate,Test1,Test1,Q19_2,People,QID432,QID43,Q19_2,Q19,Likert,COMPLETED,R_2y3ZGs556diX84c,3,Tester,FALSE, Which of the following best describes people at your organization?,1,0.5,Maturing AI,2
,Testing,Q19_3,Management / Associate,Test1,Test1,Q19_3,People,QID433,QID43,Q19_3,Q19,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Which of the following best describes people at your organization?,1,,Optimizing AI,
4,Testing,Identify AI projects,Management / Associate,Test1,Test1,Q20_1,Process,QID461,QID46,Q20_1,Q20,Likert,COMPLETED,R_2y3ZGs556diX84c,Disagree,Tester,FALSE, To what extent do you agree or disagree with the following statements about AI projects at your organization? My organization has a well-defined process ..,1,0.25,Initial AI,1
4,Testing,Prioritize AI projects,Management / Associate,Test1,Test1,Q20_2,Process,QID462,QID46,Q20_2,Q20,Likert,COMPLETED,R_2y3ZGs556diX84c,Disagree,Tester,FALSE, To what extent do you agree or disagree with the following statements about AI projects at your organization? My organization has a well-defined process ..,1,0.25,Initial AI,1
,Testing,Fund AI projects,Management / Associate,Test1,Test1,Q20_3,Process,QID463,QID46,Q20_3,Q20,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, To what extent do you agree or disagree with the following statements about AI projects at your organization? My organization has a well-defined process ..,1,,Optimizing AI,
2,Testing,Implement AI projects,Management / Associate,Test1,Test1,Q20_4,Process,QID464,QID46,Q20_4,Q20,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, To what extent do you agree or disagree with the following statements about AI projects at your organization? My organization has a well-defined process ..,1,0.75,Optimizing AI,3
2,Testing,Operate and maintain AI projects,Management / Associate,Test1,Test1,Q20_5,Process,QID465,QID46,Q20_5,Q20,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, To what extent do you agree or disagree with the following statements about AI projects at your organization? My organization has a well-defined process ..,1,0.75,Optimizing AI,3
3,Testing,Scale AI projects,Management / Associate,Test1,Test1,Q20_6,Process,QID466,QID46,Q20_6,Q20,Likert,COMPLETED,R_2y3ZGs556diX84c,Neither agree nor disagree,Tester,FALSE, To what extent do you agree or disagree with the following statements about AI projects at your organization? My organization has a well-defined process ..,1,0.5,Maturing AI,2
3,Testing,Evaluate AI projects,Management / Associate,Test1,Test1,Q20_7,Process,QID467,QID46,Q20_7,Q20,Likert,COMPLETED,R_2y3ZGs556diX84c,Neither agree nor disagree,Tester,FALSE, To what extent do you agree or disagree with the following statements about AI projects at your organization? My organization has a well-defined process ..,1,0.5,Maturing AI,2
4,Testing,Ethics,Management / Associate,Test1,Test1,Q21,Ethics,QID51,QID51,Q21,Q21,Likert,COMPLETED,R_2y3ZGs556diX84c,Disagree,Tester,FALSE, My organization explains the results and decisions made by AI algorithms in a way that is ,1,0.25,Initial AI,1
2,Testing,The use of data,Management / Associate,Test1,Test1,Q22_1,Q22_1,QID521,QID52,Q22_1,Q22,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, My organization has clear policies and guidelines related ..,1,0.75,Optimizing AI,3
4,Testing,The security of data,Management / Associate,Test1,Test1,Q22_2,Q22_2,QID522,QID52,Q22_2,Q22,Likert,COMPLETED,R_2y3ZGs556diX84c,Disagree,Tester,FALSE, My organization has clear policies and guidelines related ..,1,0.25,Initial AI,1
2,Testing,The sharing of data,Management / Associate,Test1,Test1,Q22_3,Q22_3,QID523,QID52,Q22_3,Q22,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, My organization has clear policies and guidelines related ..,1,0.75,Optimizing AI,3
2,Testing,The ownership of data,Management / Associate,Test1,Test1,Q22_4,Q22_4,QID524,QID52,Q22_4,Q22,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, My organization has clear policies and guidelines related ..,1,0.75,Optimizing AI,3
3,Testing,Ensuring legal and regulatory compliance,Management / Associate,Test1,Test1,Q22_5,Q22_5,QID525,QID52,Q22_5,Q22,Likert,COMPLETED,R_2y3ZGs556diX84c,Neither agree nor disagree,Tester,FALSE, My organization has clear policies and guidelines related ..,1,0.5,Maturing AI,2
2,Testing,Disclosing the use of AI in public,Management / Associate,Test1,Test1,Q22_6,Q22_6,QID526,QID52,Q22_6,Q22,Likert,COMPLETED,R_2y3ZGs556diX84c,Agree,Tester,FALSE, My organization has clear policies and guidelines related ..,1,0.75,Optimizing AI,3
4,Testing,How AI results are used,Management / Associate,Test1,Test1,Q22_7,Q22_7,QID527,QID52,Q22_7,Q22,Likert,COMPLETED,R_2y3ZGs556diX84c,Disagree,Tester,FALSE, My organization has clear policies and guidelines related ..,1,0.25,Initial AI,1
,Testing,Familiarity,Management / Associate,Test1,Test1,GM1,GM1,QID56TEXT,QID56,GM1,GM1,Free Response,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," When you think about AI, what comes to mind first?",1,,Optimizing AI,
,Testing,Provides new solutions to problems my organization is facing,Management / Associate,Test1,Test1,GM2_1,GM2_1,QID571,QID57,GM2_1,GM2,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, To what extent do you have positive or negative feelings associated with the following statements about AI?..,1,,Optimizing AI,
,Testing,Will change how my organization achieves its goals,Management / Associate,Test1,Test1,GM2_2,GM2_2,QID572,QID57,GM2_2,GM2,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, To what extent do you have positive or negative feelings associated with the following statements about AI?..,1,,Optimizing AI,
,Testing,Makes decision-making more objective,Management / Associate,Test1,Test1,GM2_3,GM2_3,QID573,QID57,GM2_3,GM2,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, To what extent do you have positive or negative feelings associated with the following statements about AI?..,1,,Optimizing AI,
,Testing,Will change how the workforce completes its tasks,Management / Associate,Test1,Test1,GM2_4,GM2_4,QID574,QID57,GM2_4,GM2,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, To what extent do you have positive or negative feelings associated with the following statements about AI?..,1,,Optimizing AI,
,Testing,Will change the types of jobs my organization needs to hire for,Management / Associate,Test1,Test1,GM2_5,GM2_5,QID575,QID57,GM2_5,GM2,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, To what extent do you have positive or negative feelings associated with the following statements about AI?..,1,,Optimizing AI,
,Testing,Is something I may need to learn how to use in my job,Management / Associate,Test1,Test1,GM2_6,GM2_6,QID576,QID57,GM2_6,GM2,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, To what extent do you have positive or negative feelings associated with the following statements about AI?..,1,,Optimizing AI,
,Testing,Familiarity,Management / Associate,Test1,Test1,GM3,GM3,QID58,QID58,GM3,GM3,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, How familiar are you currently with AI technology?,1,,Optimizing AI,
,Testing,Awareness,Management / Associate,Test1,Test1,GM4,GM4,QID60,QID60,GM4,GM4,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, How aware are you of AI initiatives within your organization?,1,,Optimizing AI,
,Testing,Awareness,Management / Associate,Test1,Test1,GM4a_1,GM4a_1,"QID61,choiceId:1",QID61,GM4a_1,GM4a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Where did you learn about the AI initiatives within your organization? Please select all that ,1,,Optimizing AI,
